V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
1,6,2,4,2,2,2,1,3,70,1,2,3,9,9,1,
2,6,2,4,3,2,2,1,3,48,1,4,2,8,8,2,
3,6,2,4,1,1,3,1,1,78,2,1,2,8,8,1,
4,6,2,4,1,1,3,3,1,77,1,2,2,8,8,1,
5,6,2,4,5,2,2,1,4,29,1,5,2,8,8,1,
6,6,2,4,4,2,2,1,3,40,1,4,2,8,8,2,
7,6,1,2,5,2,2,3,3,43,1,3,1,0,0,2,
8,6,2,2,6,2,2,1,2,39,2,2,2,8,8,2,
9,6,2,2,3,2,2,1,4,51,1,8,1,4,0,2,
10,6,2,1,5,2,2,1,4,25,1,5,2,8,8,1,
11,6,2,2,2,2,2,3,9,45,1,5,2,8,8,2,
12,6,2,3,4,2,2,1,4,24,1,5,1,0,0,1,
13,6,1,3,2,2,1,1,2,52,1,6,1,1,0,2,
14,6,2,4,2,2,2,1,1,59,1,5,2,8,8,1,
15,6,2,4,2,2,1,1,2,45,1,3,1,0,0,2,
16,6,2,4,2,2,2,1,6,72,2,5,2,8,8,2,
17,6,2,4,4,3,1,1,7,18,1,5,2,8,8,1,
18,6,2,4,2,2,2,1,2,67,1,5,2,8,8,1,
19,6,2,4,1,1,3,1,1,73,1,5,2,8,8,2,
20,9,2,0,4,2,2,1,3,37,1,5,1,1,0,2,
21,9,1,0,2,2,2,1,3,68,1,5,2,8,8,1,
22,9,2,0,3,3,2,1,4,64,1,5,1,1,0,1,
23,9,2,0,2,2,2,1,8,48,1,4,2,8,8,1,
24,9,2,0,5,2,2,1,4,26,2,5,1,7,0,1,
25,9,1,0,6,3,1,1,3,20,1,5,1,2,0,1,
26,5,1,0,4,2,1,2,3,16,1,9,2,8,8,2,
27,5,1,0,4,2,2,2,4,45,1,9,1,7,0,1,
28,5,2,0,4,2,1,2,3,15,1,8,2,8,8,1,
29,5,1,0,2,2,2,2,8,38,1,9,1,0,0,2,
30,5,2,0,4,2,1,2,4,17,1,9,2,8,8,1,
31,5,2,0,5,4,1,2,3,17,1,8,2,8,8,1,
32,6,1,0,5,4,2,2,1,53,1,2,1,2,0,2,
33,6,1,0,6,4,1,1,3,19,1,4,1,6,0,1,
34,6,2,0,6,4,1,1,3,15,1,4,2,8,8,2,
35,6,2,0,1,1,3,1,1,78,1,2,1,2,0,2,
36,6,1,0,5,2,2,2,2,37,1,4,1,2,0,1,
37,6,2,0,5,2,2,1,3,28,1,4,1,0,0,2,
38,3,1,1,2,2,2,1,4,44,1,5,1,2,0,2,
39,3,1,1,2,2,2,1,4,62,1,5,1,7,0,2,
40,3,2,1,4,4,2,1,4,48,1,5,1,0,0,1,
41,3,1,3,4,2,2,1,4,44,1,5,1,0,0,1,
42,6,1,0,2,2,2,1,3,54,1,8,1,2,0,1,
43,6,1,0,2,2,2,2,2,80,1,5,1,1,0,2,
44,6,1,0,1,1,3,1,8,76,1,4,1,0,0,2,
45,6,1,0,2,2,2,1,4,69,1,5,1,5,0,2,
46,8,1,0,3,1,1,1,3,17,1,5,1,0,0,1,
47,8,2,0,4,1,3,1,3,75,2,4,2,8,8,1,
48,8,1,0,5,1,1,1,3,15,2,5,2,8,8,1,
49,8,2,0,3,3,1,2,8,24,2,5,1,1,0,1,
50,8,1,0,2,2,1,1,7,27,2,5,1,5,1,1,
51,8,2,0,3,3,2,1,4,55,1,5,1,2,0,2,
52,0,2,0,3,3,2,1,4,47,1,6,1,1,0,1,
53,0,2,0,4,4,1,1,4,18,1,4,2,8,8,1,
54,0,1,0,8,3,1,1,3,17,1,4,2,8,8,2,
55,0,1,0,8,3,1,1,7,20,1,4,1,1,0,1,
